Origin Page,Destination Page,Link Text,Sentence Text,Wikidata Property Label,Direction
Papal States,Rome,Rome,At their zenith the Papal States covered most of the modern Italian regions of Lazio which includes Rome Marche Umbria and Romagna and portions of Emilia,P36,Forwards
Veii,Italy,Italy,Veii also Veius Italian Veio was an important ancient Etruscan city situated on the southern limits of Etruria and only 16160km 99160mi northnorthwest of Rome Italy,P17,Forwards
Paris,France,France,Paris French pronunciation1608203paʁi32listen is the capital and most populous city of France with an estimated population of 2175601 residents as of 201891update93 in an area of more than 105 square kilometres 41 square miles,P17,Forwards
Viminal Hill,SevenhillsofRome,Seven Hills of Rome,The Viminal Hill ˈvɪmɪnəl VIMinəl Latin Collis Vīminālis ˈkɔllɪs wiːmɪˈnaːlɪs Italian Viminale vimiˈnaːle is the smallest of the famous Seven Hills of Rome,P527,Backwards
Hungary,EuropeanUnion,European Union,LegislatureNational AssemblyFoundation•160Principality of Hungary 895•160Christian Kingdom 25 December 1000•160Golden Bull of 1222 24 April 1222•160Battle of Mohács 29 August 1526•160Liberation of Buda 2 September 1686•160Revolution of 1848 15 March 1848•160AustroHungarian Empire 30 March 1867•160Treaty of Trianon 4 June 1920•160Third Republic 23 October 1989•160Joined the European Union 1 May 2004,P463,Forwards
Rome,Italy,Italy,The white area in the centre is Vatican Citymwparseroutput locmap odpositionabsolutemwparseroutput locmap idpositionabsolutelineheight0mwparseroutput locmap l0fontsize0positionabsolutemwparseroutput locmap pvlineheight110positionabsolutetextaligncentermwparseroutput locmap pllineheight110positionabsolutetop075emtextalignrightmwparseroutput locmap prlineheight110positionabsolutetop075emtextalignleftmwparseroutput locmap pvdivdisplayinlinepadding1pxmwparseroutput locmap pldivdisplayinlinepadding1pxfloatrightmwparseroutput locmap prdivdisplayinlinepadding1pxfloatleftRomeLocation within ItalyShow map of ItalyRomeLocation within EuropeShow map of EuropeCoordinates mwparseroutput geodefaultmwparseroutput geodmsmwparseroutput geodecdisplayinlinemwparseroutput geonondefaultmwparseroutput geomultipunctdisplaynonemwparseroutput longitudemwparseroutput latitudewhitespacenowrap41°53′N 12°30′Exfeff  xfeff41883°N 12500°Exfeff  41883 12500Coordinates 41°53′N 12°30′Exfeff  xfeff41883°N 12500°Exfeff  41883 12500Country Italy91a93Region160LazioMetropolitan cityRomeFounded753 BCFounded byKing RomulusGovernment160•160TypeStrong Mayor–Council160•160MayorVirginia Raggi M5S160•160LegislatureCapitoline AssemblyArea160•160Total1285160km2 4963160sq160miElevation21160m 69160ftPopulation16031 December 2019160•160Rank1st in Italy 3rd in the EU160•160Density2236km2 5790sq160mi160•160Comune2860009160•160Metropolitan City4342212DemonymsItalian romano masculine romana feminineEnglish RomanTime zoneUTC1 CETCAP codes00100 00118 to 00199Area codes06Websitecomuneromait,P36,Backwards
San Giovanni a Porta Latina,Rome,Rome,San Giovanni a Porta Latina Italian Saint John Before the Latin Gate is a Basilica church in Rome Italy near the Porta Latina on the Via Latina of the Aurelian Wall,P131,Forwards
Curia Julia,Rome,Rome,The Curia Julia Latin Curia Iulia Italian Curia Iulia is the third named curia or senate house in the ancient city of Rome,P131,Forwards
Pope Boniface IV,CatholicChurch,Catholic Church,He is venerated as a saint in the Catholic Church with a universal feast day on 8 May,P140,Forwards
Tomb of the Whipping,Italy,Italy,The Tomb of the Whipping Italian Tomba della Fustigazione is an Etruscan tomb in the Necropolis of Monterozzi near Tarquinia Lazio Italy,P17,Forwards
Santo Spirito in Sassia,Italy,Italy,Church of the Holy Spirit in the Saxon District Italian La chiesa di Santo Spirito in Sassia is a 12thcentury titular church in Rome Italy,P17,Forwards
Parma,DuchyofParma,Duchy of Parma,As a little capital it received a stream which is often dry with reference to the time when the city was capital of the independent Duchy of Parma,P36,Backwards
Pope John Paul II,CatholicChurch,Catholic Church,Pope  John Paul II Latin Ioannes Paulus II Italian Giovanni Paolo II Polish Jan Paweł II born Karol Józef Wojtyła ˈkarɔl160ˈjuzɛv160vɔjˈtɨwa91a93 18 May 19201608211322 April 2005 was the head of the Catholic Church and sovereign of the Vatican City State from 1978 until his death in 2005,P140,Forwards
Holy Roman Emperor,HolyRomanEmpire,Holy Roman Empire,The Holy Roman emperor originally and officially the emperor of the Romans Latin Imperator Romanorum German Kaiser der Römer during the middle ages and also known as the GermanRoman emperor since the early modern period Latin Imperator Germanorum German Römischdeutscher Kaiser lit820139RomanGerman emperor39 was the ruler and head of state of the Holy Roman Empire,P17,Forwards
Roman Ghetto,Italy,Italy,The Roman Ghetto or Ghetto of Rome Italian Ghetto di Roma was a Jewish ghetto established in 1555 in the Rione SantAngelo in Rome Italy in the area surrounded by presentday Via del Portico dOttavia Lungotevere dei Cenci Via del Progresso and Via di Santa Maria del Pianto close to the River Tiber and the Theatre of Marcellus,P17,Forwards
Cosimo Rosselli,Florence,Florence,Cosimo Rosselli Italian160cɔːsiˈmo roːsɛːli 1439 – 1507 was an Italian painter of the Quattrocento active mainly in his birthplace of Florence but also in Pisa earlier in his career in 148182 in the Sistine Chapel in Rome where he painted some of the large frescoes on the side walls,P20,Forwards
Leonine City,Rome,Rome,The Leonine City Latin Civitas Leonina is the part of the city of Rome which during the Middle Ages was enclosed with the Leonine Wall built by order of Pope Leo IV in the 9th century,P131,Forwards
Umbrian language,Italy,Italian,Umbrian is an extinct Italic language formerly spoken by the Umbri in the ancient Italian region of Umbria,P17,Forwards
Rome,Italy,Italy,Rome Italian and Latin Roma ˈroːma32listen is the capital city and a special comune of Italy named Comune di Roma Capitale as well as the capital of the Lazio region,P17,Forwards
European Union,France,France,   160France,P463,Backwards
Suetonius,RomanEmpire,Roman Empire,AD 69 8211 after AD 122 was a Roman historian who wrote during the early Imperial era of the Roman Empire,P20,Forwards
Ponte Sisto,Rome,Rome,Ponte Sisto is a bridge in Romes historic centre spanning the river Tiber,P131,Forwards
Pope Innocent III,CatholicChurch,Catholic Church,Pope Innocent III Latin Innocentius III 1160 or 1161  16 July 1216 born Lotario dei Conti di Segni anglicized as Lothar of Segni was the head of the Catholic Church and ruler of the Papal States from 8 January 1198 to his death,P140,Forwards
Roman Republic,PunicWars,three wars,The Republics greatest enemy was doubtlessly Carthage against which it waged three wars,P710,Backwards
Crimean War,OttomanEmpire,Ottoman Empire,The Crimean War91e93 was a military conflict fought from October 1853 to February 1856 in which Russia lost to an alliance made up of France the Ottoman Empire the United Kingdom and Sardinia,P710,Forwards
Rome,Italy,,The white area in the centre is Vatican Citymwparseroutput locmap odpositionabsolutemwparseroutput locmap idpositionabsolutelineheight0mwparseroutput locmap l0fontsize0positionabsolutemwparseroutput locmap pvlineheight110positionabsolutetextaligncentermwparseroutput locmap pllineheight110positionabsolutetop075emtextalignrightmwparseroutput locmap prlineheight110positionabsolutetop075emtextalignleftmwparseroutput locmap pvdivdisplayinlinepadding1pxmwparseroutput locmap pldivdisplayinlinepadding1pxfloatrightmwparseroutput locmap prdivdisplayinlinepadding1pxfloatleftRomeLocation within ItalyShow map of ItalyRomeLocation within EuropeShow map of EuropeCoordinates mwparseroutput geodefaultmwparseroutput geodmsmwparseroutput geodecdisplayinlinemwparseroutput geonondefaultmwparseroutput geomultipunctdisplaynonemwparseroutput longitudemwparseroutput latitudewhitespacenowrap41°53′N 12°30′Exfeff  xfeff41883°N 12500°Exfeff  41883 12500Coordinates 41°53′N 12°30′Exfeff  xfeff41883°N 12500°Exfeff  41883 12500Country Italy91a93Region160LazioMetropolitan cityRomeFounded753 BCFounded byKing RomulusGovernment160•160TypeStrong Mayor–Council160•160MayorVirginia Raggi M5S160•160LegislatureCapitoline AssemblyArea160•160Total1285160km2 4963160sq160miElevation21160m 69160ftPopulation16031 December 2019160•160Rank1st in Italy 3rd in the EU160•160Density2236km2 5790sq160mi160•160Comune2860009160•160Metropolitan City4342212DemonymsItalian romano masculine romana feminineEnglish RomanTime zoneUTC1 CETCAP codes00100 00118 to 00199Area codes06Websitecomuneromait,P36,Backwards
Santa Maria degli Angeli e dei Martiri,Italy,Italy,Mary of the Angels and the Martyrs Latin Beatissimae Virginis et omnium Angelorum et Martyrum Italian Santa Maria degli Angeli e dei Martiri is a basilica and titular church in Rome Italy built inside the ruined frigidarium of the Roman Baths of Diocletian in the Piazza della Repubblica,P17,Forwards
Villa Farnesina,Italy,Italy,The Villa Farnesina is a Renaissance suburban villa in the Via della Lungara in the district of Trastevere in Rome central Italy,P17,Forwards
Pope Gregory I,CatholicChurch,Catholic Church,He is considered a saint in the Catholic Church Eastern Orthodox Church Anglican Communion various Lutheran denominations and other Protestant denominations,P140,Forwards
Crimean War,OttomanEmpire,Ottoman Empire,160Ottoman Empire,P710,Forwards
Via della Conciliazione,Italy,Italy,Via della Conciliazione Road of the Conciliation is a street in the Rione of Borgo within Rome Italy,P17,Forwards
Italian economic miracle,Italy,Italy,The Italian economic miracle Italian il boom economico is the term used by historians economists and the mass media to designate the prolonged period of strong economic growth in Italy after the  Second World War to the late 1960s and in particular the years from 1958 to 1963,P17,Forwards
Raphael,Florence,Florence,His career falls naturally into three phases and three styles first described by Giorgio Vasari his early years in Umbria then a period of about four years 1504–1508 absorbing the artistic traditions of Florence followed by his last hectic and triumphant twelve years in Rome working for two Popes and their close associates,P937,Forwards
Timeline of Roman history,AncientRome,Ancient Rome, To read about the background of these events see Ancient Rome and History of the Byzantine Empire,P17,Forwards
Florence,Italy,Italy,Florence ˈflɒrəns FLORRənss Italian Firenze fiˈrɛntse32listen91a93 is a city in Central Italy and the capital city of the Tuscany region,P17,Forwards
Battle of Tagliacozzo,HolyRomanEmpire,Imperial,The capture and execution of Conradin a couple of months after the battle also marked the fall of the family from the Imperial and Sicilian thrones leading to the new chapter of Angevin domination in Southern Italy,P710,Forwards
Capitoline Museums,Rome,Rome,The museums are owned and operated by the municipality of Rome,P131,Forwards
Florence,Tuscany,Tuscany,Florence ˈflɒrəns FLORRənss Italian Firenze fiˈrɛntse32listen91a93 is a city in Central Italy and the capital city of the Tuscany region,P36,Backwards
Constantinople,OttomanEmpire,Ottoman,Ottoman,P17,Forwards
Ancient Rome,CrisisoftheThirdCentury,crisis of the 3rd century,Splinter states such as the Palmyrene Empire would temporarily divide the Empire during the crisis of the 3rd century before some stability was restored in the Tetrarchy phase of imperial rule,P17,Backwards
Pope Boniface VIII,Rome,Rome,He established the first Catholic jubilee year to take place in Rome,P20,Forwards
Pope John XII,PapalStates,Papal States,93093716082113214 May 964 born Octavian was the bishop of Rome and ruler of the Papal States from 16 December 955 to his death in 964,P937,Forwards
Calabria,Italy,Italy,Calabria UK kəˈlæbriə US ˈleɪb ˈlɑːb Italian160kaˈlaːbrja Calabrian Calàbbria Calabrian Greek Calavría Greek Καλαβρία Arbëreshë Albanian Kalavrì known in antiquity as Bruttium US ˈbrʊtiəm ˈbrʌt is an administrative region of Italy,P17,Forwards
Romulus and Remus,Romulus,Romulus,In Roman mythology Romulus and Remus Latin160ˈroːmʊlʊs ˈrɛmʊs are twin brothers whose story tells the events that led to the founding of the city of Rome and the Roman Kingdom by Romulus,P527,Forwards
Baths of Caracalla,Italy,Italy,The Baths of Caracalla Italian Terme di Caracalla in Rome Italy were the citys second largest Roman public baths or thermae,P17,Forwards
Pope Clement VII,PapalStates,Papal States,Pope Clement VII Italian Papa Clemente VII Latin Clemens VII born Giulio de Medici 26 May 1478 – 25 September 1534 was head of the Catholic Church and ruler of the Papal States from 19 November 1523 to his death on 25 September 1534,P937,Forwards
Rome,Romulus,Romulus,The white area in the centre is Vatican Citymwparseroutput locmap odpositionabsolutemwparseroutput locmap idpositionabsolutelineheight0mwparseroutput locmap l0fontsize0positionabsolutemwparseroutput locmap pvlineheight110positionabsolutetextaligncentermwparseroutput locmap pllineheight110positionabsolutetop075emtextalignrightmwparseroutput locmap prlineheight110positionabsolutetop075emtextalignleftmwparseroutput locmap pvdivdisplayinlinepadding1pxmwparseroutput locmap pldivdisplayinlinepadding1pxfloatrightmwparseroutput locmap prdivdisplayinlinepadding1pxfloatleftRomeLocation within ItalyShow map of ItalyRomeLocation within EuropeShow map of EuropeCoordinates mwparseroutput geodefaultmwparseroutput geodmsmwparseroutput geodecdisplayinlinemwparseroutput geonondefaultmwparseroutput geomultipunctdisplaynonemwparseroutput longitudemwparseroutput latitudewhitespacenowrap41°53′N 12°30′Exfeff  xfeff41883°N 12500°Exfeff  41883 12500Coordinates 41°53′N 12°30′Exfeff  xfeff41883°N 12500°Exfeff  41883 12500Country Italy91a93Region160LazioMetropolitan cityRomeFounded753 BCFounded byKing RomulusGovernment160•160TypeStrong Mayor–Council160•160MayorVirginia Raggi M5S160•160LegislatureCapitoline AssemblyArea160•160Total1285160km2 4963160sq160miElevation21160m 69160ftPopulation16031 December 2019160•160Rank1st in Italy 3rd in the EU160•160Density2236km2 5790sq160mi160•160Comune2860009160•160Metropolitan City4342212DemonymsItalian romano masculine romana feminineEnglish RomanTime zoneUTC1 CETCAP codes00100 00118 to 00199Area codes06Websitecomuneromait,P20,Backwards
Papal States,PopeStephenII,Stephen II,The Papal States in 1815 after the Napoleonic WarsMap of the Papal States green in 1789 before the French seized papal lands in France including its exclaves of Benevento and Pontecorvo in Southern Italy and the Comtat Venaissin and Avignon in Southern FranceCapitalRomeCommon160languagesLatin Italian OccitanReligion Roman CatholicismGovernmentUnitary Christian theocratic absolute elective monarchyPope160•160754–757 first Stephen II•1601846–1870 last Pius IX,P937,Backwards
Senones,Gauls,Gallic,The Senones or Senonii Gaulish the ancient ones were an ancient Gallic tribe dwelling in the Seine basin around presentday Sens during the Iron Age and the Roman period,P361,Forwards
Pope Julius II,PapalStates,Papal States, As a result of his policies during the Italian Wars the Papal States remained independent and centralized and the office of the papacy continued to be crucial diplomatically and politically during the entirety of the 16th century in Italy and Europe,P937,Forwards
Rome,Italy,Italy,Rome Italian and Latin Roma ˈroːma32listen is the capital city and a special comune of Italy named Comune di Roma Capitale as well as the capital of the Lazio region,P36,Backwards
Romulus and Remus,Romulus,Romulus,In Roman mythology Romulus and Remus Latin160ˈroːmʊlʊs ˈrɛmʊs are twin brothers whose story tells the events that led to the founding of the city of Rome and the Roman Kingdom by Romulus,P361,Backwards
Pope Pius V,CatholicChurch,Catholic Church,He is venerated as a saint of the Catholic Church,P140,Forwards
Outline of Italy,Italy,Italy,Italy is a unitary parliamentary republic in SouthCentral Europe located primarily upon the Italian Peninsula,P17,Forwards
Sack of Rome 1527,HolyRomanEmpire,Holy Roman Empire, Holy Roman Empire,P710,Forwards
Lazio,Italy,Italy,Lazio UK ˈlætsioʊ US ˈlɑːtsioʊ Italian160ˈlattsjo Latin Latium ˈlat̪iʊ̃ˑ is one of the 20 administrative regions of Italy,P17,Forwards
Santa Maria degli Angeli e dei Martiri,Rome,Rome,Mary of the Angels and the Martyrs Latin Beatissimae Virginis et omnium Angelorum et Martyrum Italian Santa Maria degli Angeli e dei Martiri is a basilica and titular church in Rome Italy built inside the ruined frigidarium of the Roman Baths of Diocletian in the Piazza della Repubblica,P131,Forwards
Italic languages,IndoEuropeanlanguages,IndoEuropean,The Italic languages form a branch of the IndoEuropean language family whose earliest known members were spoken in the Italian Peninsula in the first millennium BC,P527,Backwards
Ancient Rome,RomanEmpire,Roman Empire,In historiography ancient Rome is Roman civilization from the founding of the Italian city of Rome in the 8th century BC to the collapse of the Western Roman Empire in the 5th century AD encompassing the Roman Kingdom 753 BC–509 BC Roman Republic 509 BC–27 BC and Roman Empire 27 BC–476 AD until the fall of the western empire,P527,Forwards
Santo Spirito in Sassia,Rome,Rome,Church of the Holy Spirit in the Saxon District Italian La chiesa di Santo Spirito in Sassia is a 12thcentury titular church in Rome Italy,P131,Forwards
San Lorenzo in Lucina,Italy,Italy,Laurentii in Lucina is a Roman Catholic parish titular church and minor basilica in central Rome Italy,P17,Forwards
Victor Emmanuel III of Italy,Alexandria,Alexandria,He then went into exile to Alexandria Egypt where he died and was buried the following year in a hrefwikiStCatherine27sCathedralAlexandria titleSt,P20,Forwards
Pope Pius XII,CatholicChurch,Catholic Church,Pope Pius XII Italian Pio XII born Eugenio Maria Giuseppe Giovanni Pacelli Italian pronunciation160euˈdʒɛːnjo maˈriːa dʒuˈzɛppe dʒoˈvanni paˈtʃɛlli 2 March 18761608211329 October 1958 was head of the Catholic Church and sovereign of the Vatican City State from 2 March 1939 until his death in 1958,P140,Forwards
Spain,EuropeanUnion,European Union,    Motto160Plus ultra160160Latin  Further BeyondAnthem160Marcha Real160160Spanish  Royal March  Show globeShow map of EuropeLocation of160Spain160dark green–160in Europe160green amp160dark grey–160in the European Union160greenCapitaland largest cityMadrid40°26′N 3°42′Wxfeff  xfeff40433°N 3700°Wxfeff  40433 3700Official language  mwparseroutput noboldfontweightnormaland national languageSpanish91c93,P463,Forwards
St Peters Basilica,VaticanCity,Vatican City,The Papal Basilica of Saint Peter in the Vatican Italian Basilica Papale di San Pietro in Vaticano or simply Saint Peters Basilica Latin Basilica Sancti Petri is a church built in the Renaissance style located in Vatican City the papal enclave that is within the city of Rome,P17,Forwards
Benito Mussolini,Milan,Milan,The bodies of Mussolini and his mistress were then taken to Milan where they were hung upside down at a service station to publicly confirm their demise,P937,Forwards
Pope Stephen II,PapalStates,Papal States,Pepin defeated the Lombards and made a gift of land to the pope eventually leading to the establishment of the Papal States,P937,Forwards
Sicily,Italy,Italy,Sicily Italian Sicilia siˈtʃiːlja Sicilian Sicilia sɪˈʃiːlja is the largest island in the Mediterranean Sea and one of the 20 regions of Italy,P17,Forwards
Pope Honorius III,PapalStates,Papal States,Pope Honorius III 1150 – 18 March 1227 born Cencio Savelli was head of the Catholic Church and ruler of the Papal States from 18 July 1216 to his death,P937,Forwards
Duumviri,AncientRome,ancient Rome,The duumviri Latin for two men originally duoviri and also known in English as the duumvirs were any of various joint magistrates of ancient Rome,P17,Forwards
Sistine Chapel,ApostolicPalace,Apostolic Palace,The Sistine Chapel ˌsɪstiːn ˈtʃæpəl Latin Sacellum Sixtinum Italian Cappella Sistina kapˈpɛlla siˈstiːna is a chapel in the Apostolic Palace the official residence of the pope in Vatican City,P527,Backwards
Santi Quattro Coronati,Rome,Rome,Santi Quattro Coronati is an ancient basilica in Rome Italy,P131,Forwards
Pope Pius IX,CatholicChurch,Catholic Church,Pius IX Italian Pio IX born Giovanni Maria Mastai Ferretti91a93 13 May 1792 – 7 February 1878 was head of the Catholic Church from 1846 to 1878 the longest verifiable papal reign,P140,Forwards
Allies of World War II,WorldWarII,Second World War,The Allies of World War II were a group of countries that together opposed the Axis powers during the Second World War 1939–1945,P710,Backwards
SantOmobono Area,Rome,Rome,The SantOmobono Area Italian Area di SantOmobono is an archaeological site in Rome next to the church of SantOmobono at the junction of via L,P131,Forwards
Guelphs and Ghibellines,InvestitureControversy,Investiture Controversy,The struggle for power between the Papacy and the Holy Roman Empire arose with the Investiture Controversy which began in 1075 and ended with the Concordat of Worms in 1122,P361,Forwards
Colosseum,Rome,Rome,The Colosseum ˌkɒləˈsiːəm KOLəSEEəm Italian Colosseo kolosˈsɛːo is an oval amphitheatre in the centre of the city of Rome Italy just east of the Roman Forum,P131,Forwards
Rome,RomanEmpire,Roman Empire,Eventually the city successively became the capital of the Roman Kingdom the Roman Republic and the Roman Empire and is regarded by many as the first ever Imperial city and metropolis,P36,Backwards
Spain,EuropeanUnion,European Union,With an area of 505990160km2 195360160sq160mi Spain is the largest country in Southern Europe the secondlargest country in Western Europe and the European Union and the fourthlargest country by area on the European continent,P463,Forwards
Agilulf,Milan,Milan,Although he assumed the royal dignity at the beginning of November 590 he was raised on the shield—the ceremonial investment of his title—by Lombard warriors in Milan in May 591,P20,Forwards
Italy,EuropeanUnion,European Union,    Anthem160Il Canto degli Italiani160160ItalianThe Song of the ItaliansShow globeShow map of EuropeLocation of160Italy160dark green–160in Europe160light green amp160dark grey–160in the European Union160light green160 –160 91Legend93Capitaland largest cityRome41°54′N 12°29′Exfeff  xfeff41900°N 12483°Exfeff  41900 12483Official160languagesItalianaNative languagesSee full listEthnic160groups  2017915 Italians85 OthersReligion  2017833 Christianity124 No religion37 Islam06 OthersDemonymsItalianGovernmentUnitary parliamentaryconstitutional republic•160President Sergio Mattarella•160Prime Minister Mario Draghi•160President of the Senate Elisabetta Casellati•160President of theChamber of Deputies Roberto Fico,P463,Forwards
San Pietro in Montorio,Italy,Italy,San Pietro in Montorio is a church in Rome Italy which includes in its courtyard the Tempietto a small commemorative martyrium tomb built by Donato Bramante,P17,Forwards
Constantinople,OttomanEmpire,Ottoman Empire,Constantinople ˌkɒnstæntɪˈnoʊpəl Greek Κωνσταντινούπολις Kōnstantinoupolis Latin Constantinopolis Ottoman Turkish قسطنطينيه‎8206 romanized160Ḳosṭanṭīnīye was the capital city of the Roman Empire 330–395 the Byzantine Empire 395–1204 and 1261–1453 the brief Crusader state known as the Latin Empire 1204–1261 and the Ottoman Empire 1453–1922,P17,Forwards
Roman Republic,Rome,the city,During this period Romes control expanded from the citys immediate surroundings to hegemony over the entire Mediterranean world,P36,Forwards
Tarquinia,Italy,Italy,Tarquinia Italian160tarˈkwiːnja formerly Corneto is an old city in the province of Viterbo Lazio Italy known chiefly for its ancient Etruscan tombs in the widespread necropoleis or cemeteries which it overlies for which it was awarded UNESCO World Heritage status,P17,Forwards
Gauls,Gaul,Gaul,The area they originally inhabited was known as Gaul,P17,Forwards
Hungary,EuropeanUnion,European Union,Hungary joined the European Union in 2004 and has been part of the Schengen Area since 2007,P463,Forwards
Tuscany,Florence,Florence,The regional capital is Florence Firenze,P36,Forwards
Italy,Rome,Rome,    Anthem160Il Canto degli Italiani160160ItalianThe Song of the ItaliansShow globeShow map of EuropeLocation of160Italy160dark green–160in Europe160light green amp160dark grey–160in the European Union160light green160 –160 91Legend93Capitaland largest cityRome41°54′N 12°29′Exfeff  xfeff41900°N 12483°Exfeff  41900 12483Official160languagesItalianaNative languagesSee full listEthnic160groups  2017915 Italians85 OthersReligion  2017833 Christianity124 No religion37 Islam06 OthersDemonymsItalianGovernmentUnitary parliamentaryconstitutional republic•160President Sergio Mattarella•160Prime Minister Mario Draghi•160President of the Senate Elisabetta Casellati•160President of theChamber of Deputies Roberto Fico,P36,Forwards
Marcus Aurelius,FiveGoodEmperors,Five Good Emperors,He was the last of the rulers known as the Five Good Emperors a term coined some 13 centuries later by Niccolò Machiavelli and the last emperor of the Pax Romana 27 BC to 180 AD an age of relative peace and stability for the Roman Empire,P361,Forwards
Perugia,Umbria,Umbria,Perugia pəˈruːdʒə also US dʒiə peɪˈ Italian160peˈruːdʒa32listen Latin Perusia is the capital city of both the region of Umbria in central Italy crossed by the river Tiber and of the province of Perugia,P36,Backwards
Pope Alexander VI,PapalStates,Papal States,Pope Alexander VI born Rodrigo de Borja Valencian Roderic Llançol i de Borja roðeˈɾiɡ ʎanˈsɔl i ðe ˈbɔɾdʒa Spanish Rodrigo Lanzol y de Borja roˈðɾiɣo lanˈθol i ðe ˈβoɾxa 1 January 1431160– 18 August 1503 was head of the Catholic Church and ruler of the Papal States from 11 August 1492 until his death in 1503,P937,Forwards
Rome,PopeNicholasV,Nicholas V,Beginning with the Renaissance almost all popes since Nicholas V 1447–1455 pursued a coherent architectural and urban programme over four hundred years aimed at making the city the artistic and cultural centre of the world,P20,Backwards
Tuscany,Italy,Italy,Tuscany is the second most popular Italian region for travellers in Italy,P17,Forwards
Pope Innocent VIII,PapalStates,Papal States,Pope Innocent VIII Latin Innocentius VIII 1432 – 25 July 1492 born Giovanni Battista Cybo or Cibo was head of the Catholic Church and ruler of the Papal States from 29 August 1484 to his death,P937,Forwards
Lucius Tarquinius Priscus,Rome,Rome,As a result his wife Tanaquil advised him to relocate to Rome,P20,Forwards
Naples,Italy,Italy,mwparseroutput locmap odpositionabsolutemwparseroutput locmap idpositionabsolutelineheight0mwparseroutput locmap l0fontsize0positionabsolutemwparseroutput locmap pvlineheight110positionabsolutetextaligncentermwparseroutput locmap pllineheight110positionabsolutetop075emtextalignrightmwparseroutput locmap prlineheight110positionabsolutetop075emtextalignleftmwparseroutput locmap pvdivdisplayinlinepadding1pxmwparseroutput locmap pldivdisplayinlinepadding1pxfloatrightmwparseroutput locmap prdivdisplayinlinepadding1pxfloatleftNaplesLocation of Naples in CampaniaShow map of ItalyNaplesNaples CampaniaShow map of CampaniaCoordinates 40°50′N 14°15′Exfeff  xfeff40833°N 14250°Exfeff  40833 14250CountryItalyRegionCampaniaMetropolitan cityNaples NAGovernment160•160MayorLuigi de Magistris DAArea160•160Total11902160km2 4595160sq160miElevation998160m 3274160ftHighest160elevation453160m 1486160ftLowest160elevation0160m 0160ftPopulation16030 September 2017160•160Total967068160•160Density8100km2 21000sq160miDemonymsNapoletanoPartenopeoNapulitano NeapolitanNeapolitan EnglishTime zoneUTC1 CET160•160Summer DSTUTC2 CESTPostal code80100 8012180147Dialing160code081ISTAT code063049 Patron saintJanuariusSaint day19 SeptemberWebsiteOfficial website,P17,Forwards
Mark Antony,BattleofActium,Battle of Actium,Later that year Antony was defeated by Octavians forces at the Battle of Actium,P710,Backwards
Pope Celestine V,CatholicChurch,Catholic Church,Pope Celestine V Latin Caelestinus V 1215160– 19 May 1296 born Pietro Angelerio according to some sources Angelario Angelieri Angelliero or Angeleri also known as Pietro da Morrone Peter of Morrone and Peter Celestine was head of the Catholic Church and ruler of the Papal States for five months from 5 July to 13 December 1294 when he resigned,P140,Forwards
Via dei Fori Imperiali,Rome,Rome,The Via dei Fori Imperiali formerly Via dei Monti then Via dellImpero is a road in the centre of the city of Rome Italy that runs in a straight line from the Piazza Venezia to the Colosseum,P131,Forwards
Axis powers,NaziGermany,Nazi Germany,The Axis grew out of the diplomatic efforts of Nazi Germany the Kingdom of Italy and the Empire of Japan to secure their own specific expansionist interests in the mid1930s,P463,Backwards
Victor Emmanuel II of Italy,Rome,Rome,However Victor Emmanuel halted Garibaldi when he appeared ready to attack Rome still under the Papal States as it was under French protection,P20,Forwards
Phocas,Constantinople,Constantinople,Phocas captured Constantinople and overthrew Maurice on 23 November 602 and declared himself emperor on the same day,P20,Forwards
Battle of the Milvian Bridge,RomanEmpire,Roman Empire,Constantine won the battle and started on the path that led him to end the Tetrarchy and become the sole ruler of the Roman Empire,P710,Forwards
Capitoline Hill,SevenhillsofRome,Seven Hills,  Schematic map of Rome showing the Seven Hills and the Servian Wall,P361,Forwards
Roman Forum,Rome,Rome,The Roman Forum also known by its Latin name Forum Romanum Italian Foro Romano is a rectangular forum plaza surrounded by the ruins of several important ancient government buildings at the center of the city of Rome,P131,Forwards
Crimean War,OttomanEmpire,, 45400,P710,Forwards
Food and Agriculture Organization,Italy,Italy,It is headquartered in Rome Italy and maintains regional and field offices around the world operating in over 130 countries,P463,Backwards
Pope Boniface VIII,PapalStates,Papal States,1230 – 11 October 1303 was the head of the Catholic Church and ruler of the Papal States from 24 December 1294 to his death in 1303,P937,Forwards
Gaul,Gauls,Gauls,Archaeologically the Gauls were bearers of the La Tène culture which extended across all of Gaul as well as east to Raetia Noricum Pannonia and southwestern Germania during the 5th to 1st centuries BC,P17,Backwards
Sardinia,Italy,Italy,Sardinia sɑːrˈdɪniə sarDINeeə Italian Sardegna sarˈdeɲɲa Sardinian Sardigna  saɾˈdiɲːa and Sardínnia saɾˈdinːja also Saldigna Sardíngia Sardinna Sardinza Sassarese Sardhigna Gallurese Saldigna Algherese Sardenya Tabarchino Sardegna is the secondlargest island in the Mediterranean Sea after Sicily and one of the 20 regions of Italy,P17,Forwards
Battle of the Allia,Gauls,Gallic,The Battle of the Allia was a battle fought c8201387160BC between the Senones – a Gallic tribe led by Brennus who had invaded northern Italy – and the Roman Republic,P710,Forwards
Republic of Venice,Venice,Venice,Centered on the lagoon communities of the prosperous city of Venice it incorporated numerous overseas possessions in modern Croatia Slovenia Montenegro Greece Albania and Cyprus,P36,Forwards
