Origin Page,Destination Page,Link Text,Sentence Text,Wikidata Property Label,Direction
Perak,Pahang,Pahang,Perak has land borders with the Malaysian states of Kedah to the north Penang to the northwest Kelantan and Pahang to the east and Selangor to the south,P47,Backwards
Kerala,India,India,Kerala English ˈkɛrələ Malayalam160keɾɐɭɐm32listen is a state on the southwestern coast of India,P131,Forwards
Agriculture,Intensive farming,Intensive,Intensive,P279,Backwards
Sustainable Development Goals,Sustainable Development Goal 10,Reducing Inequality,The 17 SDGs are 1 No Poverty 2 Zero Hunger 3 Good Health and Wellbeing 4 Quality Education 5 Gender Equality 6 Clean Water and Sanitation 7 Affordable and Clean Energy 8 Decent Work and Economic Growth 9 Industry Innovation and Infrastructure 10 Reducing Inequality 11 Sustainable Cities and Communities 12 Responsible Consumption and Production 13 Climate Action 14 Life Below Water 15 Life On Land 16 Peace Justice and Strong Institutions 17 Partnerships for the Goals,P361,Backwards
Ethiopia,Kenya,Kenya, It shares borders with Eritrea to the north Djibouti and Somaliland to the northeast Somalia to the east Kenya to the south South Sudan to the west and Sudan to the northwest,P47,Backwards
Croatia,Hungary,Hungary,It borders Slovenia to the northwest Hungary to the northeast Serbia to the east Bosnia and Herzegovina and Montenegro to the southeast and shares a maritime border with Italy to the west and southwest,P530,Backwards
Canada,United Nations,United Nations,Canada is part of several major international and intergovernmental institutions or groupings including the United Nations NATO the G7 the Group of Ten the G20 the United States–Mexico–Canada Agreement the Commonwealth of Nations the Organisation internationale de la Francophonie the AsiaPacific Economic Cooperation forum and the Organization of American States,P463,Forwards
Applied ecology,Ecology,ecology,Applied ecology is a subfield within ecology that considers the application of the science of ecology to realworld usually management questions,P279,Forwards
Sustainable Development Goals,Sustainable Development Goal 1,No Poverty,The 17 SDGs are 1 No Poverty 2 Zero Hunger 3 Good Health and Wellbeing 4 Quality Education 5 Gender Equality 6 Clean Water and Sanitation 7 Affordable and Clean Energy 8 Decent Work and Economic Growth 9 Industry Innovation and Infrastructure 10 Reducing Inequality 11 Sustainable Cities and Communities 12 Responsible Consumption and Production 13 Climate Action 14 Life Below Water 15 Life On Land 16 Peace Justice and Strong Institutions 17 Partnerships for the Goals,P361,Backwards
Sierra Leone,West Africa,West Africa,Sierra Leone siˌɛrə liˈoʊni32listen also UK siˌɛərə  US ˌsɪərə  officially the Republic of Sierra Leone informally Salone is a country on the southwest coast of West Africa,P527,Backwards
Pleasant Valley Airport,United States,United States,Pleasant Valley Airport ICAO P48 is a privately owned publicuse airport located in Peoria in Maricopa County Arizona United States,P17,Forwards
Sustainable Development Goal 2,Sustainable Development Goals,Sustainable Development Goals,It is one of the 17 Sustainable Development Goals established by the United Nations in 2015,P527,Backwards
Richard Fuller environmentalist,Australia,Australian,Richard Fuller OAM born 1960 is an Australianborn USbased engineer entrepreneur and environmentalist best known for his work in global pollution remediation,P27,Forwards
Stephen R Carpenter,United States,American,Stephen Russell Carpenter is an American lake ecologist who focuses on lake eutrophication which is the overenrichment of lake ecosystems leading to toxic blooms of microorganisms and fish kills,P27,Forwards
Pahang,Perak,Perak,In 1895 Pahang became a British protectorate along with the states of Perak Selangor and Negeri Sembilan,P47,Forwards
Socialist Left Party Austria,Austria,Austria,The Socialist Left Party German Sozialistische LinksPartei SLP is a Trotskyist political party in Austria,P17,Forwards
Neda Ulaby,United States,American,Neda Ulaby Arabic ندى علبي8206 born c 1970 is an American reporter for National Public Radio covering arts cultural trends and digital media,P27,Forwards
Itombwe Mountains,Democratic Republic of the Congo,Democratic Republic of the Congo,The Itombwe Mountains or Itombwe Massif Plateau are a range of mountains in the South Kivu province of the Democratic Republic of the Congo DRC,P17,Forwards
Norway,Sweden,Sweden,The country shares a long eastern border with Sweden 1619 km or 1006160mi long,P47,Backwards
Tunisia,African Union,African Union,It is a member of the United Nations La Francophonie the Arab League the OIC the African Union the NonAligned Movement the International Criminal Court and the Group of 77 among others,P463,Forwards
Family planning,Birth control,contraception,If sexually active family planning may involve the use of contraception and other techniques to control the timing of reproduction,P279,Backwards
Yukon,Alaska,Alaska,state of Alaska,P47,Forwards
North Macedonia,Greece,Greece,North Macedonia is a landlocked country bordering with Kosovo91e93 to the northwest Serbia to the north Bulgaria to the east Greece to the south and Albania to the west,P530,Forwards
BrongAhafo region,Ghana,Ghana,The BrongAhafo region was a region in southern Ghana,P150,Backwards
Belgium,World Trade Organization,WTO,Belgium is also a founding member of the Eurozone NATO OECD and WTO and a part of the trilateral Benelux Union and the Schengen Area,P463,Forwards
The Land Conservancy of British Columbia,Victoria British Columbia,Victoria,It has an office in Victoria,P131,Forwards
Myanmar,India,India,Myanmar is bordered by Bangladesh and India to its northwest China to its northeast Laos and Thailand to its east and southeast and the Andaman Sea and the Bay of Bengal to its south and southwest,P530,Forwards
Paul Cattermole,S Club 7,S Club 7,Cattermole was a member of the group S Club 7 but left the group in 2002,P463,Forwards
Indonesia,Jakarta,Jakarta,The countrys capital Jakarta is the worlds secondmost populous urban area,P131,Backwards
Columbia River,British Columbia,British Columbia,The river rises in the Rocky Mountains of British Columbia Canada,P131,Forwards
Belgium,Germany,Germany,It is bordered by the Netherlands to the north Germany to the east Luxembourg to the southeast France to the southwest and the North Sea to the northwest,P47,Backwards
World Business Council for Sustainable Development,Geneva,Geneva,The WBCSD was created in 1995 as a merger of the Business Council for Sustainable Development and the World Industry Council for the Environment and is based at the Maison de la paix in Geneva Switzerland with offices in New York and New Delhi,P131,Forwards
Green sea turtle,Sea turtle,sea turtle,The green sea turtle Chelonia mydas also known as the green turtle black sea turtle or Pacific green turtle is a species of large sea turtle of the family Cheloniidae,P279,Forwards
Bangladesh,India,India,Bangladesh shares land borders with India to the west north and east Myanmar to the southeast and the Bay of Bengal to the south,P530,Backwards
Energy in Botswana,Botswana,Botswana,Botswana has significant reserves of coal estimated at over 200 billion tons,P17,Forwards
Rwanda,Tanzania,Tanzania,Located a few degrees south of the Equator Rwanda is bordered by Uganda Tanzania Burundi and the Democratic Republic of the Congo,P47,Forwards
Hazelwood Power Station,Australia,Australia,The Hazelwood Power Station is a decommissioned brown coalfuelled thermal power station located in the Latrobe Valley of Victoria Australia,P17,Forwards
Sustainable Development Goals,Sustainable Development Goal 6,Clean Water and Sanitation,The 17 SDGs are 1 No Poverty 2 Zero Hunger 3 Good Health and Wellbeing 4 Quality Education 5 Gender Equality 6 Clean Water and Sanitation 7 Affordable and Clean Energy 8 Decent Work and Economic Growth 9 Industry Innovation and Infrastructure 10 Reducing Inequality 11 Sustainable Cities and Communities 12 Responsible Consumption and Production 13 Climate Action 14 Life Below Water 15 Life On Land 16 Peace Justice and Strong Institutions 17 Partnerships for the Goals,P361,Backwards
Scotland,United Kingdom,United Kingdom,Scotland Scots Scotland Scottish Gaelic Alba ˈal̪ˠapə32listen is a country that is part of the United Kingdom,P150,Backwards
Northern Ireland,Republic of Ireland,Republic of Ireland,Located in the northeast of the island of Ireland Northern Ireland shares a border to the south and west with the Republic of Ireland,P47,Forwards
Quebec,New Brunswick,New Brunswick,Located in Central Canada the province shares land borders with Ontario to the southwest Newfoundland and Labrador to the northeast New Brunswick to the southeast and a coastal border with Nunavut it also borders the a hrefwikiUSstate titleUS,P47,Backwards
Okanagan Desert,British Columbia,British Columbia,The Okanagan Desert is the common name for a semiarid shrubland located in the southern region of the Okanagan Valley in British Columbia and Washington,P131,Forwards
Tampere Vocational College Tredu,Finland,Finland,Tampere Vocational College Tredu Finnish Tampereen seudun ammattiopisto Tredu is a college based in Tampere Finland,P17,Forwards
Vancouver Convention Centre,Vancouver,Vancouver,The Vancouver Convention Centre formerly known as the Vancouver Convention amp Exhibition Centre or VCEC is a convention centre in Vancouver British Columbia Canada it is one of Canadas largest convention centres,P131,Forwards
Judy Wakhungu,Kenya,Kenyan,Judi Wangalwa Wakhungu is a Kenyan politician and diplomat who was appointed by President Uhuru Kenyatta as Ambassador to France on 26 January 2018,P27,Forwards
Seawater,Sea,sea,Seawater or salt water is water from a sea or ocean,P527,Backwards
Netherlands,OECD,OECD,The country is a founding member of the EU Eurozone G10 NATO OECD and WTO as well as a part of the Schengen Area and the trilateral Benelux Union,P463,Forwards
Hungary,European Union,European Union,Hungary joined the European Union in 2004 and has been part of the Schengen Area since 2007,P527,Backwards
United States Botanic Garden,United States,United States,It is the oldest continuallyoperating botanic garden in the United States,P17,Forwards
Rizhao,Shandong,Shandong,Rizhao Chinese58 日照 alternatively romanized as Jihchao is a prefecturelevel city in southeastern Shandong province China,P150,Backwards
Ontario,Quebec,Quebec,Located in Central Canada it is Canadas most populous province with 383160percent of the countrys population and is the secondlargest province by total area after Quebec,P47,Backwards
Caloocan,Malabon,Malabon,South Caloocan is bordered by Manila Quezon City Malabon Navotas and Valenzuela,P47,Forwards
Kingswood House School,United Kingdom,United Kingdom,Kingswood House School is a preparatory school in Epsom Surrey in the United Kingdom,P17,Forwards
Chiribiquete National Park,Colombia,Colombia,Chiribiquete National Natural Park Spanish Parque Nacional Natural PNN Serranía de Chiribiquete is the largest national park in Colombia and the largest tropical rainforest national park in the world,P17,Forwards
United Nations Foundation,Washington DC,Washington DC,The United Nations Foundation is a charitable organization headquartered in Washington DC that supports the United Nations and its activities,P131,Forwards
Sweden,European Union,European Union,This is not however to be confused with migrants national backgrounds which are recorded  Since 3 September 1967  The eu domain is also used as it is shared with other European Union member states,P150,Backwards
Valenzuela Metro Manila,Philippines,Philippines,July 2020citation needed93 officially the City of Valenzuela Tagalog Lungsod ng Valenzuela is a 1st class highly urbanized city in the National Capital Region of the Philippines,P17,Forwards
Sustainable Development Goals,Sustainable Development Goal 1,No Poverty,The 17 SDGs are 1 No Poverty 2 Zero Hunger 3 Good Health and Wellbeing 4 Quality Education 5 Gender Equality 6 Clean Water and Sanitation 7 Affordable and Clean Energy 8 Decent Work and Economic Growth 9 Industry Innovation and Infrastructure 10 Reducing Inequality 11 Sustainable Cities and Communities 12 Responsible Consumption and Production 13 Climate Action 14 Life Below Water 15 Life On Land 16 Peace Justice and Strong Institutions 17 Partnerships for the Goals,P527,Forwards
Pacific Ocean,World Ocean,World Ocean,At 165250000 square kilometers 63800000 square miles in the area as defined with a southern Antarctic border this largest division of the World Ocean—and in turn the hydrosphere—covers about 46 of Earths water surface and about 32 of its total surface area making it larger than all of Earths land area combined 148000000  square kilometers,P361,Forwards
Estonia,Finland,Finland,It is bordered to the north by the Gulf of Finland across from Finland to the west by the Baltic Sea across from Sweden to the south by Latvia and to the east by Lake Peipus and Russia,P530,Backwards
Metro Manila,San Juan Metro Manila,San Juan,It is composed of 16 cities the city of Manila Quezon City Caloocan Las Piñas Makati Malabon Mandaluyong Marikina Muntinlupa Navotas Parañaque Pasay Pasig San Juan Taguig and Valenzuela as well as the municipality of Pateros,P150,Forwards
Norway,OECD,OECD,Norway is also a founding member of the United Nations NATO the European Free Trade Association the Council of Europe the Antarctic Treaty and the Nordic Council a member of the European Economic Area the WTO and the OECD and a part of the Schengen Area,P463,Forwards
Bioneers,United States,United States,Plenary Keynote sessions from the national conference are also webcast to Beaming Bioneers satellite conferences held simultaneously in various locations throughout the United States and Canada,P17,Forwards
Myanmar,Bangladesh,Bangladesh,Myanmar is bordered by Bangladesh and India to its northwest China to its northeast Laos and Thailand to its east and southeast and the Andaman Sea and the Bay of Bengal to its south and southwest,P47,Forwards
Hattorf am Harz,Germany,Germany,Hattorf am Harz is a municipality in the district of Göttingen in Lower Saxony Germany,P17,Forwards
European Union,Croatia,Croatia,LegislatureSee legislative procedureFormation•160Treaty of Rome 1 January 1958•160Single European Act 1 July 1987•160Treaty of Maastricht 1 November 1993•160Treaty of Lisbon 1 December 2009•160Last polity admitted 1 July 2013 Croatia•160Last polity withdrawn 31 January 2020 United Kingdom,P150,Forwards
Saskatchewan,Northwest Territories,Northwest Territories,Saskatchewan is bordered on the west by Alberta on the north by the Northwest Territories on the east by Manitoba to the northeast by Nunavut and on the south by the US states of Montana and North Dakota,P47,Forwards
Sherina Munaf,Indonesia,Indonesia,Sinna Sherina Munaf or better known as Sherina Munaf born in Bandung West Java Indonesia on June 11 1990 is an Indonesian actress singer and songwriter of Minangkabau descent,P27,Forwards
SinoSingapore Tianjin Ecocity,China,China,The SinoSingapore Tianjin Ecocity SSTEC simplified Chinese58 中新天津生态城 traditional Chinese58 中新天津生態城 pinyin58 ZhōngXīn Tiānjīn Shēngtài Chéng is the result of a collaborative agreement between the governments of China and Singapore to jointly develop a socially harmonious environmentally friendly and resourceconserving city in China,P17,Forwards
European Union,Czech Republic,Czech Republic,   160Czech Republic,P463,Backwards
Germany,Berlin,Berlin,    Anthem160Deutschlandlied91a93English Song of GermanyShow globeShow map of EuropeLocation of160Germany160dark green–160in Europe160light green amp160dark grey–160in the European Union160light greenCapitaland largest cityBerlin91b9352°31′N 13°23′Exfeff  xfeff52517°N 13383°Exfeff  52517 13383Official languagemwparseroutput noboldfontweightnormaland national languageGerman91c93DemonymsGermanGovernmentFederal parliamentary republic•160President FrankWalter Steinmeier•160Chancellor Angela Merkel•160Vice Chancellor Olaf Scholz,P150,Forwards
Belgium,European Union,European Union,Belgium is one of the six founding countries of the European Union and its capital Brussels hosts the official seats of the European Commission the Council of the European Union and the European Council as well as one of two seats of the European Parliament the other being Strasbourg,P463,Forwards
Iran,Middle East,Middle East,It is the secondlargest country in the Middle East and its capital and largest city is Tehran,P361,Forwards
Malta,United Nations,United Nations,It has been a member state of the Commonwealth of Nations and the United Nations since independence and joined the European Union in 2004 it became part of the eurozone monetary union in 2008,P463,Forwards
Lise Kingo,Denmark,Denmark,Before her appointment to the position by United Nations Secretary General Ban Ki Moon on 25 June 2015 she was the Executive Vice President Chief of Staff and member of executive management at Novo Nordisk a prominent multinational pharmaceutical company headquartered in her native country of Denmark,P27,Forwards
Philippines,Metro Manila,Metro Manila,  While Manila is designated as the nations capital the seat of government is the National Capital Region commonly known as Metro Manila of which the city of Manila is a part,P150,Forwards
Netherlands,Belgium,Belgium,In Europe the Netherlands consists of twelve provinces bordering Germany to the east Belgium to the south and the North Sea to the northwest with maritime borders in the North Sea with those countries and the United Kingdom,P530,Backwards
Verona Arena,Verona,Verona,The Verona Arena Italian Arena di Verona aˈrɛːna di veˈroːna aˈreːna  is a Roman amphitheatre in Piazza Bra in Verona Italy built in the first century,P131,Forwards
Poland,Germany,Germany,The country is bordered by Lithuania and Kaliningrad Oblast of Russia to the northeast Belarus and Ukraine to the east Slovakia and the Czech Republic to the south and Germany to the west,P47,Backwards
Loutre River Missouri River,United States,United States,The Loutre River is a 584milelong 940160km tributary of the Missouri River in the United States,P17,Forwards
Stockholm,Sweden,Sweden,It has the most populous urban area in Sweden as well as in Scandinavia,P17,Forwards
Sustainable Development Goals,Sustainable Development Goal 3,Good Health and Wellbeing,The 17 SDGs are 1 No Poverty 2 Zero Hunger 3 Good Health and Wellbeing 4 Quality Education 5 Gender Equality 6 Clean Water and Sanitation 7 Affordable and Clean Energy 8 Decent Work and Economic Growth 9 Industry Innovation and Infrastructure 10 Reducing Inequality 11 Sustainable Cities and Communities 12 Responsible Consumption and Production 13 Climate Action 14 Life Below Water 15 Life On Land 16 Peace Justice and Strong Institutions 17 Partnerships for the Goals,P361,Backwards
Cross River National Park,Nigeria,Nigeria,The Cross River National Park is a national park of Nigeria located in Cross River State Nigeria,P17,Forwards
India,Indonesia,Indonesia,In the Indian Ocean India is in the vicinity of Sri Lanka and the Maldives its Andaman and Nicobar Islands share a maritime border with Thailand Myanmar and Indonesia,P530,Backwards
Regional Municipality of Wood Buffalo,Canada,Canada,It is home to vast oil sand deposits also known as the Athabasca oil sands helping to make the region one of the fastest growing industrial areas in Canada,P17,Forwards
Precipitation,Weather,Weather,mwparseroutput sidebarwidth22emfloatrightclearrightmargin05em 0 1em 1embackgroundf8f9faborder1px solid aaapadding02emborderspacing04em 0textaligncenterlineheight14emfontsize88displaytablebodyskinminerva mwparseroutput sidebardisplaytableimportantfloatrightimportantmargin05em 0 1em 1emimportantmwparseroutput sidebar awhitespacenowrapmwparseroutput sidebarwraplinks awhitespacenormalmwparseroutput sidebarsubgroupwidth100margin0borderspacing0mwparseroutput sidebarleftfloatleftclearleftmargin05em 1em 1em 0mwparseroutput sidebarnonefloatnoneclearbothmargin05em 1em 1em 0mwparseroutput sidebaroutertitlepaddingbottom02emfontsize125lineheight12emfontweightboldmwparseroutput sidebartopimagepadding04em 0mwparseroutput sidebartopcaptionmwparseroutput sidebarpretitlewithtopimagemwparseroutput sidebarcaptionpaddingtop02emlineheight12emmwparseroutput sidebarpretitlepaddingtop04emlineheight12emmwparseroutput sidebartitlemwparseroutput sidebartitlewithpretitlepadding02em 04emfontsize145lineheight12emmwparseroutput sidebartitlewithpretitlepaddingtop0mwparseroutput sidebarimagepadding02em 0 04emmwparseroutput sidebarheadingpadding01emmwparseroutput sidebarcontentpadding0 01em 04emmwparseroutput sidebarcontentwithsubgrouppadding01em 0 02emmwparseroutput sidebarabovemwparseroutput sidebarbelowpadding03em 04emfontweightboldmwparseroutput sidebarcollapse sidebarabovemwparseroutput sidebarcollapse sidebarbelowbordertop1px solid aaaborderbottom1px solid aaamwparseroutput sidebarnavbartextalignrightfontsize115mwparseroutput sidebarcollapse sidebarnavbarpaddingtop06emmwparseroutput sidebarlisttitletextalignleftfontweightboldlineheight16emfontsize105mwparseroutput sidebarlisttitlectextaligncentermargin0 33emmediamaxwidth720pxbodymediawiki mwparseroutput sidebarwidth100importantclearbothfloatnoneimportantmarginleft0importantmarginright0importantPart of  a series onWeather,P361,Forwards
Philippines,Taiwan,Taiwan,The Philippines is bounded by the South China Sea to the west the Philippine Sea to the east and the Celebes Sea to the southwest and shares maritime borders with Taiwan to the north Japan to the northeast Palau to the east and southeast Indonesia to the south Malaysia and Brunei to the southwest Vietnam to the west and China to the northwest,P530,Backwards
China,Hong Kong,Hong Kong,The country is officially divided into 23 provinces91l93 five autonomous regions four directcontrolled municipalities Beijing Tianjin Shanghai and Chongqing and two special administrative regions of Hong Kong and Macau,P150,Forwards
Latvia,European Union,European Union,Latvia is a member of the European Union Eurozone NATO the Council of Europe the United Nations CBSS the IMF NB8 NIB OECD OSCE Baltics and WTO,P150,Backwards
Angola,Namibia,Namibia,It is the secondlargest lusophone Portuguesespeaking country in both total area and population behind Brazil and it is the seventhlargest country in Africa bordered by Namibia to the south the Democratic Republic of the Congo to the north Zambia to the east and the Atlantic Ocean to the west,P47,Backwards
Precipitation,Thunderstorm,Thunderstorm,Thunderstorm,P279,Backwards
Southern Australia,New South Wales,New South Wales,Southern Western Australia largely focuses on mining as a key export whilst the states of Victoria and New South Wales focus on traditional sectors such as manufacturing tourism and finance,P131,Forwards
UTS Vicki Sara Building,Australia,Australia,The UTS Vicki Sara Building also known as the Science Faculty Building is the building housing the Faculty of Science and the Graduate School of Health in the University of Technology Sydney in New South Wales Australia,P17,Forwards
Metro Manila,Taguig,Taguig,It is composed of 16 cities the city of Manila Quezon City Caloocan Las Piñas Makati Malabon Mandaluyong Marikina Muntinlupa Navotas Parañaque Pasay Pasig San Juan Taguig and Valenzuela as well as the municipality of Pateros,P131,Backwards
Quebec,New Brunswick,New Brunswick,Located in Central Canada the province shares land borders with Ontario to the southwest Newfoundland and Labrador to the northeast New Brunswick to the southeast and a coastal border with Nunavut it also borders the a hrefwikiUSstate titleUS,P47,Forwards
Arizona Daily Star,United States,United States,The Arizona Daily Star is the major morning daily newspaper that serves Tucson and surrounding districts of southern Arizona in the United States,P17,Forwards
China,Tianjin,Tianjin,The country is officially divided into 23 provinces91l93 five autonomous regions four directcontrolled municipalities Beijing Tianjin Shanghai and Chongqing and two special administrative regions of Hong Kong and Macau,P131,Backwards
Northwest Territories,Yukon,Yukon,The Northwest Territories is bordered by Canadas two other territories Nunavut to the east and Yukon to the west and by the provinces of British Columbia Alberta and Saskatchewan to the south and may touch Manitoba at a quadripoint to the southeast,P47,Forwards
Tesso Nilo National Park,Indonesia,Indonesian,It was declared a national park by the Indonesian government in 2004,P17,Forwards
Infrastructure,Green infrastructure,green infrastructure,Especially in light of the massive societal transformations needed to mitigate and adapt to climate change contemporary infrastructure conversations frequently focus on sustainable development and green infrastructure,P279,Backwards
Michael Braungart,Germany,German,Michael Braungart born 1958 is a German chemist who advocates that humans can make a positive instead of a negative environmental impact by redesigning industrial production and therefore that dissipation is not waste,P27,Forwards
Hong Kong,China,China,Hong Kong Chinese58 香港 Cantonese hœ́ːŋkɔ̌ːŋ32listen officially the Hong Kong Special Administrative Region of the Peoples Republic of China HKSAR simplified Chinese58 中华人民共和国香港特别行政区 traditional Chinese58 中華人民共和國香港特別行政區 is a metropolitan area and special administrative region of China on the eastern Pearl River Delta in South China,P17,Forwards
Czech Republic,Germany,Germany,It is bordered by Austria to the south Germany to the west Poland to the northeast and Slovakia to the east,P530,Forwards
Metro Manila,Quezon City,Quezon City,It is composed of 16 cities the city of Manila Quezon City Caloocan Las Piñas Makati Malabon Mandaluyong Marikina Muntinlupa Navotas Parañaque Pasay Pasig San Juan Taguig and Valenzuela as well as the municipality of Pateros,P131,Backwards
Germany,European Union,European Union,The Federal Republic of Germany was a founding member of the European Economic Community and the European Union while the German Democratic Republic was a communist Eastern Bloc state and member of the Warsaw Pact,P150,Backwards
Ozark Mountain forests,Temperate broadleaf and mixed forests,temperate broadleaf and mixed forests,The Ozark Mountain forests are a temperate broadleaf and mixed forests ecoregion of the central United States delineated by the World Wide Fund for Nature,P361,Forwards
Ontario,Manitoba,Manitoba,Ontario is bordered by the province of Manitoba to the west Hudson Bay and James Bay to the north and Quebec to the east and northeast and to the south by the a hrefwikiUSstate titleUS,P47,Forwards
Flanders,Wallonia,Walloon,It touches the French department of Nord to the southwest near the coast and borders the Dutch provinces of Zeeland North Brabant and Limburg to the north and east and the Walloon provinces of Hainaut Walloon Brabant and Liège to the south,P47,Backwards
Ghana,Ivory Coast,Ivory Coast,It spans along the Gulf of Guinea and the Atlantic Ocean sharing borders with the Ivory Coast in the west Burkina Faso in the north Togo in the east the Gulf of Guinea and the Atlantic Ocean in the south,P530,Forwards
Ministry of Food and Agriculture Ghana,Ghana,Ghana,Ghanas Ministry of Food and Agriculture MOFA is the government agency responsible for the development and growth of agriculture in the country,P17,Forwards
Muck Crops Research Station,Canada,Canada,The Muck Crops Research Station is an agriculture research facility near Kettleby and Ansnorveldt in Ontario Canada,P17,Forwards
James H Clark,National Academy of Engineering,National Academy of Engineering,In 1998 Clark was elected a member of the National Academy of Engineering for the development of computer graphics and for technical leadership in the computer industry,P463,Forwards
Sustainable Development Goal 8,Sustainable Development Goals,Sustainable Development Goals,Sustainable Development Goal 8 SDG 8 or Global Goal 8 is about decent work and economic growth and is one of the 17 Sustainable Development Goals which were established by the United Nations General Assembly in 2015,P361,Forwards
Botswana,South Africa,South Africa,It is bordered by South Africa to the south and southeast Namibia to the west and north and Zimbabwe to the northeast,P47,Forwards
Ethiopia,African Union,African Union,Addis Ababa serves as the headquarters of the African Union the Pan African Chamber of Commerce and Industry the United Nations Economic Commission for Africa the African Standby Force and many of the global NGOs focused on Africa,P463,Forwards
Rio Tinto Alcan Planetarium,Canada,Canada,The Rio Tinto Alcan Planetarium French Planétarium Rio Tinto Alcan is the successor to the Montreal Planetarium and is located in the Espace pour la Vie near the Olympic Stadium and the Biodome in Montreal Quebec Canada,P17,Forwards
European Union,Greece,Greece,   160Greece,P150,Forwards
Prince Edward Island,Nova Scotia,Nova Scotia,The island was ceded to the British at the conclusion of the French and Indian War in 1763 and became part of the colony of Nova Scotia and in 1769 the island became its own British colony,P47,Forwards
Denmark,European Union,EU,Denmark became a member of the European Economic Community now the EU in 1973 but negotiated certain optouts it retains its own currency the krone,P150,Backwards
Scott Mariani,United Kingdom,British,Scott Mariani born 1 January 1968 St Andrews Scotland is a British Sunday Times bestselling author best known for his thriller novels about exSAS Major and former theology student Ben Hope,P27,Forwards
Austria,OECD,OECD,It plays host to the OSCE and OPEC and is a founding member of the OECD and Interpol,P463,Forwards
United Kingdom,London,London,The capital is London a global city and financial centre with an urban area population of 103 million,P17,Backwards
Buenos Aires,Buenos Aires Province,Buenos Aires Province,The Greater Buenos Aires conurbation which also includes several Buenos Aires Province districts constitutes the fourthmost populous metropolitan area in the Americas with a population of around 156160million,P47,Backwards
BorjomiKharagauli National Park,Borjomi,Borjomi,One of the largest national parks in Georgia BorjomiKharagauli National Park includes six municipalities  Borjomi Kharagauli Akhaltsikhe Adigeni Khashuri and Baghdati  stretching from the resort of Borjomi to the town of Kharagauli,P131,Forwards
Germany,European Union,European Union,    Anthem160Deutschlandlied91a93English Song of GermanyShow globeShow map of EuropeLocation of160Germany160dark green–160in Europe160light green amp160dark grey–160in the European Union160light greenCapitaland largest cityBerlin91b9352°31′N 13°23′Exfeff  xfeff52517°N 13383°Exfeff  52517 13383Official languagemwparseroutput noboldfontweightnormaland national languageGerman91c93DemonymsGermanGovernmentFederal parliamentary republic•160President FrankWalter Steinmeier•160Chancellor Angela Merkel•160Vice Chancellor Olaf Scholz,P463,Forwards
Tanzania,Kenya,Kenya,It borders Uganda to the north Kenya to the northeast Comoro Islands and the Indian Ocean to the east Mozambique and Malawi to the south Zambia to the southwest and Rwanda Burundi and the Democratic Republic of the Congo to the west,P47,Backwards
Poland,Germany,Germany,The country is bordered by Lithuania and Kaliningrad Oblast of Russia to the northeast Belarus and Ukraine to the east Slovakia and the Czech Republic to the south and Germany to the west,P530,Forwards
Metro Manila,Caloocan,Caloocan,It is composed of 16 cities the city of Manila Quezon City Caloocan Las Piñas Makati Malabon Mandaluyong Marikina Muntinlupa Navotas Parañaque Pasay Pasig San Juan Taguig and Valenzuela as well as the municipality of Pateros,P131,Backwards
China,Tianjin,Tianjin,The country is officially divided into 23 provinces91l93 five autonomous regions four directcontrolled municipalities Beijing Tianjin Shanghai and Chongqing and two special administrative regions of Hong Kong and Macau,P150,Forwards
United Nations Association in Canada,World Federation of United Nations Associations,World Federation of United Nations Association,Established in 1946 UNACanada was a founding member of the World Federation of United Nations Association,P463,Forwards
India,Myanmar,Myanmar,In the Indian Ocean India is in the vicinity of Sri Lanka and the Maldives its Andaman and Nicobar Islands share a maritime border with Thailand Myanmar and Indonesia,P530,Forwards
Tourism,Sustainable tourism,sustainable tourism,For this reason many tourist development organizations are beginning to focus on sustainable tourism in order to mitigate negative effects caused by the growing impact of tourism,P279,Backwards
Caloocan,Philippines,Philippines,Caloocan officially the City of Caloocan Tagalog Lungsod ng Caloocan IPA160kalɔʔokan is a 1st class highly urbanized city in Metropolitan Manila Philippines,P17,Forwards
Foreign relations of Taiwan,Taiwan,Taiwan,The Republic of China ROC commonly known as Taiwan has full diplomatic relations with 14 out of 193 United Nations member states as well as the Holy See,P17,Forwards
Mary Goudie Baroness Goudie,United Kingdom,United Kingdom,Mary Teresa Goudie Baroness Goudie née Brick born 2 September 1946 is a Labour member of House of Lords of the United Kingdom,P27,Forwards
Myanmar,India,India,Myanmar is bordered by Bangladesh and India to its northwest China to its northeast Laos and Thailand to its east and southeast and the Andaman Sea and the Bay of Bengal to its south and southwest,P530,Backwards
Southern Hudson Bay taiga,Canada,Canada,Entirely located in Canada it covers an area of approximately 373735 km2 and crosses the provinces of Manitoba Ontario and the western portion of Quebec,P17,Forwards
Interim Biogeographic Regionalisation for Australia,Australia,Australia,Within the broadest scale Australia is a major part of the Australasia biogeographic realm as developed by the World Wide Fund for Nature,P17,Forwards
West Africa,Senegal,Senegal,The United Nations defines Western Africa as the 16 countries of Benin Burkina Faso Cape Verde The Gambia Ghana Guinea GuineaBissau Ivory Coast Liberia Mali Mauritania Niger Nigeria Senegal Sierra Leone and Togo,P527,Forwards
Muntinlupa,Metro Manila,National Capital Region,Muntinlupa officially the City of Muntinlupa Tagalog Lungsod ng Muntinlupa is a 1st class highly urbanized city in the National Capital Region of the Philippines,P150,Backwards
